"event","n_0","y_0","n_1","y_1","true_gamma","flag"
1,250000,13074,500,23,0.891931811209819,"include"
2,250000,13294,500,22,0.940076976378665,"include"
3,250000,11927,500,33,1.13978949322023,"include"
4,250000,12476,500,16,0.860465740189167,"include"
5,250000,14982,500,35,1.28107436650052,"include"
6,250000,11952,500,22,1.09024347773855,"include"
7,250000,12210,500,28,1.02332431415323,"include"
8,250000,10804,500,10,1.16812961991198,"include"
9,250000,13859,500,18,0.75304133944894,"include"
10,250000,12059,500,34,1.50048341798601,"include"
11,250000,12586,500,23,0.960984564523669,"include"
12,250000,13392,500,29,0.979742341331536,"include"
13,250000,13363,500,27,0.736133901164551,"include"
14,250000,12334,500,26,1.25945850266377,"include"
15,250000,13139,500,97,3.96545604602606,"include"
16,250000,11900,500,28,0.888807253274603,"include"
17,250000,14357,500,20,0.841686371370998,"include"
18,250000,12595,500,67,3.15130324818782,"include"
19,250000,11396,500,23,1.15997810523943,"include"
20,250000,15565,500,35,0.953168033540179,"include"
21,250000,12885,500,29,1.21408495091429,"include"
22,250000,10768,500,28,1.08744693188851,"include"
23,250000,13356,500,28,0.869988132638123,"include"
24,250000,11817,500,100,3.87579611021271,"include"
25,250000,12535,500,21,0.935148682015485,"include"
26,250000,12377,500,16,0.898974529368519,"include"
27,250000,13899,500,20,0.936498018151181,"include"
28,250000,11326,500,28,0.965783428389099,"include"
29,250000,11405,500,20,0.854132535205091,"include"
30,250000,13472,500,105,4.02241411722897,"include"
31,250000,13782,500,32,0.940533645239015,"include"
32,250000,12292,500,121,4.62226380617593,"include"
33,250000,13232,500,30,0.93194383347084,"include"
34,250000,13051,500,23,0.83279683194523,"include"
35,250000,11404,500,25,1.15764968964263,"include"
36,250000,11185,500,41,1.71091554441812,"include"
37,250000,12433,500,34,1.09319172776676,"include"
38,250000,13377,500,59,2.49027531254229,"include"
39,250000,11250,500,21,0.973062510308423,"include"
40,250000,9670,500,55,2.59889908690518,"include"
41,250000,12933,500,17,0.922666827662386,"include"
42,250000,12984,500,14,0.845639849433651,"include"
43,250000,14079,500,44,1.17448296261567,"include"
44,250000,12248,500,116,4.68410695529952,"include"
45,250000,12747,500,31,1.00379154638248,"include"
46,250000,13301,500,19,0.817361130272178,"include"
47,250000,11842,500,27,1.07137384450619,"include"
48,250000,12094,500,41,1.29522491246144,"include"
49,250000,10903,500,137,5.95162535086152,"include"
50,250000,12696,500,29,1.2660556917947,"include"
51,250000,13795,500,35,1.08933930228866,"include"
52,250000,12950,500,40,1.71419648956664,"include"
53,250000,13637,500,49,1.92415992144014,"include"
54,250000,10670,500,102,4.59461172892014,"include"
55,250000,12014,500,26,1.10468479077797,"include"
56,250000,12718,500,32,1.10024711470988,"include"
57,250000,12922,500,19,0.779388993579353,"include"
58,250000,11451,500,24,1.06782467692782,"include"
59,250000,12803,500,86,2.80605673883486,"include"
60,250000,12158,500,22,0.866908893634776,"include"
61,250000,11233,500,15,0.859637712636439,"include"
62,250000,13823,500,40,1.25924131846179,"include"
63,250000,12779,500,28,1.12726290052472,"include"
64,250000,13473,500,15,0.612210734277583,"include"
65,250000,12257,500,38,2.27811419797532,"include"
66,250000,11257,500,23,0.88293401580003,"include"
67,250000,13131,500,18,0.69166263879191,"include"
68,250000,14848,500,26,0.847044872589976,"include"
69,250000,10718,500,41,2.27840135458608,"include"
70,250000,13698,500,35,1.00012590379584,"include"
71,250000,10751,500,9,0.925041412356164,"include"
72,250000,11360,500,31,1.06377008138774,"include"
73,250000,14439,500,19,0.997461079439899,"include"
74,250000,12003,500,19,1.02820277025586,"include"
75,250000,13180,500,21,0.986368088103199,"include"
76,250000,14170,500,39,1.15748839012065,"include"
77,250000,13452,500,24,0.963491068207336,"include"
78,250000,12793,500,19,0.84771461872641,"include"
79,250000,11549,500,79,3.42136336077672,"include"
80,250000,11940,500,20,0.929377503464565,"include"
81,250000,15315,500,33,0.994460932928899,"include"
82,250000,12808,500,24,0.964486922197027,"include"
83,250000,14651,500,107,3.71937438763909,"include"
84,250000,11955,500,20,0.793071959006232,"include"
85,250000,11591,500,40,1.66421226205536,"include"
86,250000,11640,500,17,0.889161233434028,"include"
87,250000,12961,500,28,0.736948214920901,"include"
88,250000,13530,500,30,0.991222608597234,"include"
89,250000,14338,500,129,4.25213284530957,"include"
90,250000,14182,500,22,0.678207184789153,"include"
91,250000,11720,500,97,3.20878047031806,"include"
92,250000,11184,500,40,1.33837934422461,"include"
93,250000,12243,500,11,0.825985531731536,"include"
